Source,Target,Weight,Type
1,3,4.865060e-01,directed
1,5,7.750931e-02,directed
1,6,1.773200e-01,directed
1,7,9.561470e-01,directed
1,8,8.904916e-01,directed
1,10,7.639215e-01,directed
1,11,6.385153e-01,directed
1,12,6.820068e-01,directed
1,13,6.879473e-01,directed
1,14,5.998206e-01,directed
1,15,6.425872e-01,directed
1,16,3.619877e-01,directed
1,17,3.619877e-01,directed
1,18,7.214190e-01,directed
1,22,5.786573e-01,directed
1,24,5.405346e-01,directed
1,25,5.788264e-01,directed
1,26,6.205310e-01,directed
1,29,9.456603e-01,directed
1,30,5.725541e-01,directed
1,31,5.074106e-01,directed
1,32,9.289118e-01,directed
1,34,5.210631e-01,directed
1,37,6.737790e-01,directed
1,38,5.442923e-01,directed
1,39,6.658811e-01,directed
1,40,6.179343e-01,directed
1,41,9.979428e-01,directed
1,43,6.046804e-01,directed
1,44,6.749888e-01,directed
1,45,1.488079e-01,directed
1,47,1.488079e-01,directed
2,1,4.394970e-01,directed
2,3,7.352847e-01,directed
2,5,4.394970e-01,directed
2,6,4.260987e-01,directed
2,7,3.643492e-01,directed
2,8,2.986939e-01,directed
2,10,1.722488e-01,directed
2,11,3.880710e-01,directed
2,12,9.778432e-01,directed
2,13,1.359601e-01,directed
2,14,2.080359e-01,directed
2,15,9.971449e-01,directed
2,18,1,directed
2,25,4.752662e-01,directed
2,26,9.957275e-01,directed
2,29,9.456603e-01,directed
2,30,8.762992e-01,directed
2,37,9.736767e-01,directed
2,39,9.940302e-01,directed
2,40,9.289118e-01,directed
2,41,9.979428e-01,directed
2,43,4.085208e-02,directed
2,44,6.965128e-02,directed
2,45,3.619877e-01,directed
2,47,3.619877e-01,directed
3,1,4.394970e-01,directed
3,5,4.394970e-01,directed
3,7,3.429940e-01,directed
3,8,5.434247e-01,directed
3,10,2.460674e-01,directed
3,11,2.057932e-01,directed
3,12,3.005387e-01,directed
3,13,3.840248e-01,directed
3,14,3.446074e-01,directed
3,15,3.264682e-01,directed
3,18,3.891622e-01,directed
3,22,5.805901e-02,directed
3,24,2.746925e-01,directed
3,25,3.492525e-01,directed
3,26,1.704905e-01,directed
3,29,1.783610e-01,directed
3,30,1.089999e-01,directed
3,31,6.808803e-02,directed
3,32,9.289118e-01,directed
3,34,2.374865e-01,directed
3,37,3.703250e-01,directed
3,39,2.770639e-01,directed
3,40,2.387515e-01,directed
3,41,4.548271e-01,directed
3,43,2.336601e-01,directed
3,44,3.752228e-01,directed
4,1,4.394970e-01,directed
4,3,7.352847e-01,directed
4,5,4.394970e-01,directed
4,6,4.260987e-01,directed
4,7,9.561470e-01,directed
4,8,4.048203e-02,directed
4,11,9.798688e-01,directed
4,12,9.778432e-01,directed
4,13,9.940302e-01,directed
4,14,4.124368e-05,directed
4,15,9.380051e-02,directed
4,17,3.619877e-01,directed
4,18,1,directed
4,26,3.494091e-02,directed
4,29,9.456603e-01,directed
4,31,7.542180e-02,directed
4,32,9.289118e-01,directed
4,34,8.834091e-01,directed
4,37,4.053989e-03,directed
4,39,1.022454e-01,directed
4,40,9.289118e-01,directed
4,41,8.323387e-02,directed
4,43,6.289889e-02,directed
4,44,4.566370e-02,directed
4,45,3.619877e-01,directed
4,47,3.619877e-01,directed
5,1,7.750931e-02,directed
5,3,4.865060e-01,directed
5,6,1.773200e-01,directed
5,7,9.561470e-01,directed
5,8,8.904916e-01,directed
5,10,7.639215e-01,directed
5,11,6.385153e-01,directed
5,12,6.820068e-01,directed
5,13,6.879473e-01,directed
5,14,5.998206e-01,directed
5,15,6.425872e-01,directed
5,16,3.619877e-01,directed
5,17,3.619877e-01,directed
5,18,7.214190e-01,directed
5,22,5.786573e-01,directed
5,24,5.405346e-01,directed
5,25,5.788264e-01,directed
5,26,6.205310e-01,directed
5,29,9.456603e-01,directed
5,30,5.725541e-01,directed
5,31,5.074106e-01,directed
5,32,9.289118e-01,directed
5,34,5.210631e-01,directed
5,37,6.737790e-01,directed
5,38,5.442923e-01,directed
5,39,6.658811e-01,directed
5,40,6.179343e-01,directed
5,41,9.979428e-01,directed
5,43,6.046804e-01,directed
5,44,6.749888e-01,directed
5,45,1.488079e-01,directed
5,47,1.488079e-01,directed
6,1,2.576788e-01,directed
6,3,3.211793e-01,directed
6,5,2.576788e-01,directed
6,7,4.402831e-01,directed
6,8,4.721132e-01,directed
6,10,7.639215e-01,directed
6,11,5.162813e-01,directed
6,12,3.886539e-01,directed
6,13,6.394725e-01,directed
6,14,3.822546e-01,directed
6,15,9.971449e-01,directed
6,16,7.258680e-02,directed
6,18,4.619310e-01,directed
6,22,6.370356e-02,directed
6,24,3.382302e-01,directed
6,25,3.822196e-01,directed
6,26,6.004079e-01,directed
6,29,9.456603e-01,directed
6,30,3.127501e-01,directed
6,31,5.314692e-01,directed
6,32,9.289118e-01,directed
6,34,5.476445e-01,directed
6,37,9.736767e-01,directed
6,38,4.458838e-01,directed
