Id,Label,Entropy,TE
1,Aerococcaceae,0.674954,17.559478
2,Aeromonadaceae,0.837188,16.516614
3,Alcaligenaceae,0.869368,11.573169
4,Alphaproteobacteria_incertae_sedis,0.775753,26.475572
5,Bacillaceae,0.942716,8.872992
6,Bacteroidaceae,0.648547,10.526028
7,Bacteroidales_incertae_sedis,0.799731,20.061644
8,Bacteroidetes_incertae_sedis,0.995151,37.047562
9,Bartonellaceae,0.978780,49.401272
10,Bifidobacteriaceae,0.933230,8.906769
11,Brucellaceae,0.515600,19.680076
12,Burkholderiaceae,0.928385,19.391375
13,Carnobacteriaceae,0.991268,15.992854
14,Clostridiaceae,0.643206,10.362791
15,Clostridiales_incertae_sedis_XI,0.975132,14.954570
16,Clostridiales_incertae_sedis_XIII,0.974310,8.943919
17,Clostridiales_incertae_sedis_XIV,0.949578,12.429515
18,Comamonadaceae,0.925469,12.170606
19,Coriobacteriaceae,0.931437,10.192398
20,Deferribacteraceae,0.998857,48.023943
21,Desulfovibrionaceae,0.935232,8.959660
22,Enterobacteriaceae,0.811890,13.093813
23,Enterococcaceae,0.984535,13.949206
24,Entomoplasmataceae,0.992889,49.015876
25,Erysipelotrichaceae,0.819887,7.951765
26,Eubacteriaceae,0.746873,17.128763
27,Flavobacteriaceae,0.912419,8.969537
28,Fusobacteriaceae,0.998857,48.023943
29,Hyphomonadaceae,0.789441,13.162435
30,Lachnospiraceae,0.700351,8.204514
31,Lactobacillaceae,0.936338,21.883132
32,Leuconostocaceae,0.932960,16.608032
33,Opitutaceae,0.939532,16.690211
34,Paenibacillaceae,0.836779,7.855249
35,Parvularculaceae,0.990665,27.296048
36,Pasteurellaceae,0.600073,9.561175
37,Peptococcaceae,0.969956,26.608889
38,Peptostreptococcaceae,0.843617,8.109990
39,Planctomycetaceae,0.833412,35.656388
40,Porphyromonadaceae,0.721735,11.463697
41,Prevotellaceae,0.806221,23.047549
42,Puniceicoccaceae,0.875875,9.245606
43,Rhodobacteraceae,0.974823,22.677728
44,Rhodospirillaceae,0.901479,8.328029
45,Rikenellaceae,0.782560,9.615702
46,Ruminococcaceae,0.819664,8.294567
47,Shewanellaceae,0.954293,22.453159
48,Staphylococcaceae,0.950209,7.409009
49,Streptococcaceae,0.531776,9.797622
50,Streptomycetaceae,0.959637,9.457124
51,Synergistaceae,0.944069,31.813109
52,Syntrophomonadaceae,0.997699,31.497785
53,Thermoanaerobacteraceae,0.948736,9.035278
54,uc_Actinobacteria,0.609896,8.755799
55,uc_Actinomycetales,0.940461,8.168486
56,uc_Alphaproteobacteria,0.571010,12.246518
57,uc_Archaea,0.970669,15.405867
58,uc_Bacillales,0.889978,8.289955
59,uc_Bacilli,0.941040,9.647649
60,uc_Bacteria,0.703615,9.246322
61,uc_Bacteroidales,0.729770,8.293373
62,uc_Bacteroidetes,0.846225,10.589734
63,uc_Betaproteobacteria,0.869701,25.092096
64,uc_Burkholderiales,0.807310,11.015733
65,uc_Caulobacterales,0.984846,28.813211
66,uc_Clostridia,0.912979,9.367528
67,uc_Clostridiales,0.768327,7.279191
68,uc_Deltaproteobacteria,0.940969,10.744673
69,uc_Desulfovibrionales,0.941234,11.294587
70,uc_Entomoplasmatales,0.800810,50.132452
71,uc_Firmicutes,0.860950,7.844559
72,uc_Flavobacteriales,0.985018,22.778609
73,uc_Gammaproteobacteria,0.950093,10.749629
74,uc_Lactobacillales,0.813872,9.973025
75,uc_Mollicutes,0.873446,29.523204
76,uc_Opitutae,0.878031,10.398077
77,uc_Proteobacteria,0.787428,10.591971
78,uc_Rhizobiales,0.559339,11.478912
79,uc_Rhodospirillales,0.922658,11.109356
80,uc_Sphingobacteriales,0.897110,7.785901
81,uc_Verrucomicrobia,0.844002,17.343810
82,Veillonellaceae,0.801575,9.591763
83,Verrucomicrobiaceae,0.898455,17.325598
84,Actinomycetaceae,0.948699,37.593519
85,Anaplasmataceae,0.999307,57.090921
86,Brachyspiraceae,0.941074,39.997324
87,Bradyrhizobiaceae,0.581494,54.567886
88,Brevibacteriaceae,0.999876,54.567886
89,Burkholderiales_incertae_sedis,0.999907,37.593519
90,Chitinophagaceae,0.813323,54.567886
91,Chlorobiaceae,0.996674,24.569067
92,Chloroplast,0.962069,54.567886
93,Clostridiales_incertae_sedis_XII,0.963493,20.251862
94,Cryomorphaceae,1.000000,57.792391
95,Cyclobacteriaceae,0.991660,54.567886
96,Cytophagaceae,0.935875,19.011306
97,Desulfohalobiaceae,1.000000,57.792391
98,Desulfomicrobiaceae,0.998367,27.426165
99,Halanaerobiaceae,0.999307,57.090921
100,Halobacteroidaceae,0.999307,57.090921
101,Halomonadaceae,0.999876,54.567886
102,Heliobacteriaceae,0.999876,54.567886
103,Legionellaceae,0.999939,57.280578
104,Methanobacteriaceae,0.897742,44.120131
105,Methylobacteriaceae,0.862800,54.567886
106,Methylococcaceae,0.999939,57.280578
107,Methylocystaceae,0.721855,19.032692
108,Microbacteriaceae,0.999307,57.090921
109,Micrococcaceae,0.995033,26.385410
110,Moraxellaceae,0.944036,54.567886
111,Mycoplasmataceae,0.999876,54.567886
112,Neisseriaceae,0.999876,54.567886
113,Oxalobacteraceae,0.847113,42.846978
114,Propionibacteriaceae,0.772405,37.491769
115,Pseudomonadaceae,0.998095,54.567886
116,Rhizobiaceae,0.999876,54.567886
117,Sphingobacteriaceae,0.974826,25.909486
118,Thermaceae,0.944036,54.567886
119,uc_Alteromonadales,0.999444,44.120131
120,uc_Desulfobacterales,0.990182,41.487583
